Name,smile,value (oral BA %)
brompheniramine,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1,89
ampicillin,CC1(C)SC2C(N=C(O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,62
cephradine,CC1=C(C(=O)O)N2C(=O)C(N=C(O)C(N)C3=CCC=CC3)C2SC1,94
amoxicillin,CC1(C)SC2C(N=C(O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,93
tripamide,NS(=O)(=O)c1cc(C(O)=NN2CC3C4CCC(C4)C3C2)ccc1Cl,80
linezolid,CC(O)=NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,100
itasetron,CN1C2CCC1CC(N=C(O)n1c(O)nc3ccccc31)C2,64
azapropazone,CCCC1C(=O)N2C(N(C)C)=Nc3ccc(C)cc3N2C1=O,83
torasemide,Cc1cccc(N=c2cc[nH]cc2S(=O)(=O)NC(O)=NC(C)C)c1,80
zolmitriptan,CN(C)CCc1c[nH]c2ccc(CC3COC(O)=N3)cc12,45
alizapride,C=CCN1CCCC1CN=C(O)c1cc2[nH]nnc2cc1OC,84
cefminox,COC1(N=C(O)CSCC(N)C(=O)O)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,0
propranolol,CC(C)NC(C)C(O)c1cccc2ccccc12,26
ramelteon,CCC(O)=NCCC1CCc2ccc3c(c21)CCO3,2
nortilidine,CCOC(=O)C1(c2ccccc2)CCC=CC1NC,99
rolipram,COc1ccc(C2CN=C(O)C2)cc1OC1CCCC1,75
melperone,CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,60
procaterol,CCC(NC(C)C)C(O)c1ccc(O)c2nc(O)ccc12,40
thyrotropin,N=C(O)C1CCCN1C(=O)C(Cc1cnc[nH]1)N=C(O)C1CCC(O)=N1,50
tegaserod_maleate,CCCCCNC(=N)NN=Cc1c[nH]c2ccc(OC)cc12,11
tolperisone,Cc1ccc(C(=O)C(C)CN2CCCCC2)cc1,17
oxymetazoline,Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1,11
propiram,CCC(=O)N(c1ccccn1)C(C)CN1CCCCC1,97
ropinirole,CCCNC(Cc1cccc2c1CC(O)=N2)NCCC,55
tertatolol,CC(C)(C)NCC(O)COc1cccc2c1SCCC2,60
artemether,COC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3,58
oseltamivir,CCOC(=O)C1=CC(OC(CC)CC)C(N=C(C)O)C(N)C1,75
quazepam,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,32
letrozole,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,99
triazolam,CC1=NNC2=CN=C(c3ccccc3Cl)c3cc(Cl)ccc3N21,44
pirazolac,O=C(O)Cc1nn(-c2ccc(F)cc2)cc1-c1ccc(Cl)cc1,93.5
celecoxib,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,50
rosoxacin,CCn1cc(C(=O)O)c(=O)c2ccc(-c3ccncc3)cc21,64
rofecoxib,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,93
ciclazindol,OC1(c2cccc(Cl)c2)C2=NCCCN2c2ccccc21,80
balsalazide,O=C(O)CCNC(=O)c1ccc(NN=C2C=CC(=O)C(C(=O)O)=C2)cc1,1
zaleplon,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,31
progabide,N=C(O)CCCNC(=C1C=C(F)C=CC1=O)c1ccc(Cl)cc1,60
amoxapine,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,36
mefloquine,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,80
sertraline,CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21,44
etifoxine,CCN=C1Nc2ccc(Cl)cc2C(C)(c2ccccc2)O1,50
zopiclone,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,80
griseofulvin,COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O,50
cephapirin,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(N=C(O)CSc3ccncc3)C2SC1,0
fleroxacin,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,99
nifedipine,COC(=O)C1=C(C)NC(C)=C(OC(C)=O)C1c1ccccc1[N+](=O)[O-],49
carbenicillin,CC1(C)SC2C(N=C(O)C(C(=O)O)c3ccccc3)C(=O)N2C1C(=O)O,35
chlorpromazine,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,25
lomefloxacin,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,97
safinamide,CC(NCc1ccc(OCc2cccc(F)c2)cc1)C(=N)O,80
mirtazapine,CN1CCN2c3ncccc3Cc3ccccc3C2C1,49
phentolamine,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,0
anastrozole,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,80
piritrexim,COc1ccc(OC)c(Cc2cnc3c(C)c(=N)[nH]c(N)c3n2)c1,68
pixantrone,NCCNc1ccc(NCCN)c2c1C(=O)c1ccncc1C2=O,0
nefopam,CN1CCOC(c2ccccc2)c2ccccc2C1,36
hydromorphone,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,42
oxymorphone,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,10
bromodiphenhydramine,CN(C)CCOC(c1ccccc1)c1ccc(Br)cc1,65
azasetron,CN1C(=O)COc2c(C(O)=NC3CN4CCC3CC4)cc(Cl)cc21,90
flecainide,OC(=NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,70
pefloxacin,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,90
bumetanide,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,90
phenethicillin,CC(Oc1ccccc1)C(O)=NC1C(=O)N2C1SC(C)(C)C2C(=O)O,86
promethazine,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,25
promazine,CN(C)CCCN1c2ccccc2Sc2ccccc21,16.25
olanzapine,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,60
Mycophenolic acid ,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2,94
atomoxetine,CNCCC(Oc1ccccc1C)c1ccccc1,94
ritodrine,CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1,30
galantamine,COc1ccc2c3c1OC1CC(O)C=CC31CCN(C)C2,99
fenoterol,CC(Cc1ccc(O)cc1)NC(O)Cc1cc(O)cc(O)c1,2
cocaine,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,57
scopolamine,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,27
etodolac,CCc1cccc2c1NC1C2CCOC1(CC(=O)O)CC(=O)O,90
doxylamine,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,24.700001
tesofensine,CCOCC1C(c2ccc(Cl)c(Cl)c2)CC2CCC1N2C,90
bisaramil,CCN1CC2CN(C)CC(C1)C2OC(=O)c1ccc(Cl)cc1,56
orbofiban,CCOC(=O)CCN=C(O)NC1CCN(c2ccc(C(=N)N)cc2)C1=O,9
tilidine,CCOC(=O)C1(c2ccccc2)CCC=CC1N(C)C,50
atropine,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,50
hydroxychloroquine,CCN(CCO)CCC(C)Nc1ccnc2cc(Cl)ccc12,74
vildagliptin,N#CC1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,85
naratriptan,CNS(=O)(=O)CCc1ccc2[nH]c(C3CCN(C)CC3)cc2c1,69
meropenem,CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CCC(C(=O)N(C)C)N3)C(C)C12,0
bufuralol,CCc1cccc2c1CC(C(O)CNC(C)(C)C)=C2,46
buflomedil,COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,65
roxatidine,OCC(O)=NCCCOc1cccc(CN2CCCCC2)c1,95
emedastine,CCOCCn1c(N2CCCN(C)CC2)nc2ccccc21,50
amisulpride,CCN1CCCC1CN=C(O)c1cc(S(=O)(=O)CC)c(N)cc1OC,48
venlafaxine,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,45
metipranolol,CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C,50
nadolol,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,30
etidocaine,CCCN(CC)C(CC)C(O)=Nc1c(C)cccc1C,0
perindoprilate,CCCC(NC(C)C(=O)N1C(C(=O)O)CC2CCCCC21)C(=O)O,25
anisotropine,CCCC(CCC)C(=O)OC1CC2CCC(C1)[N+]2(C)C,17.5
midazolam,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,44
cinolazepam,N#CCCN1C(=O)C(O)N=C(c2ccccc2F)c2cc(Cl)ccc21,95
pinazepam,C#CCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,40
miconazole,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,25
indomethacin,COc1ccc2c(c1)c(CC(=O)O)cn2C(=O)c1ccc(Cl)cc1,100
bicalutamide,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(O)=Nc1ccc(C#N)c(C(F)(F)F)c1,100
sulfasalazine,O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,15
etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,99
sitaxentan,Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl)OCO2,70
oxaprozin,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,98
roquinimex,CN(C(=O)c1c(O)c2ccccc2n(C)c1=O)c1ccccc1,99
phenprocoumon,CCC(c1ccccc1)c1c(O)c2ccccc2oc1=O,100
ridogrel,O=C(O)CCCCON=C(c1cccnc1)c1cccc(C(F)(F)F)c1,90
indobufen,CCC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,85
zotepine,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21,10
pleconaril,Cc1cc(CCCOc2c(C)cc(-c3noc(C(F)(F)F)n3)cc2C)on1,70
cibenzoline,c1ccc(C2(c3ccccc3)CC2C2=NCCN2)cc1,86
proquazone,Cc1ccc2c(-c3ccccc3)nc(=O)n(C(C)C)c2c1,7
cefamandole,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(N=C(O)C(O)c3ccccc3)C2SC1,96
cefatrizine,NC(C(O)=NC1C(=O)N2C(C(=O)O)=C(CSc3cnn[nH]3)CSC12)c1ccc(O)cc1,66
ceftriaxone,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CSC12)c1csc(=N)[nH]1,0
clozapine,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,55
rosiglitazone,CN(CCOc1ccc(CC2SC(=O)N=C2O)cc1)c1ccccn1,99
cefprozil,CC=CC1=C(C(=O)O)N2C(=O)C(N=C(O)C(N)c3ccc(O)cc3)C2SC1,90
duloxetine,CNCCC(Oc1cccc2ccccc12)c1cccs1,50
ofloxacin,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,100
gemifloxacin,CON=C1CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN,71
nitrendipine,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,16.5
desoxypipradrol,c1ccc(C(c2ccccc2)C2CCCCN2)cc1,90
dibenzepin,CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc21,25
rabeprazole,COCCCOc1cc[nH+]c(CS(=O)c2nc3ccccc3[nH]2)c1C,52
prinomastat,CC1(C)SCCN(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)C1C(O)=NO,80
amocarzine,CN1CCN(C(=S)Nc2ccc(Nc3ccc([N+](=O)[O-])cc3)cc2)CC1,40
codeine,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,50
oxycodone,COc1ccc2c3c1OC1C(=O)CCC4(O)C(C2)N(C)CCC314,50
cyclizine,CN1CCN(C(c2ccccc2)c2ccccc2)CC1,75
desipramine,CNCCCN1c2ccccc2CCc2ccccc21,50
carazolol,CC(C)NCC(O)COc1cccc2[nH]c3ccccc3c12,10
tropisetron,CN1C2CCC1CC(OC(=O)c1cn(C)c3ccccc13)C2,66
xemilofiban,C#CC(CC(=O)OCC)N=C(O)CCC(=O)Nc1ccc(C(=N)N)cc1,13
trimetrexate,COc1cc(NCc2cnc3[nH]c(=N)[nH]c(=N)c3c2C)cc(OC)c1OC,45
thiazinamium,CC(CN1c2ccccc2Sc2ccccc21)[N+](C)(C)C,10
reproterol,Cn1c(=O)c2c(ncn2CCCNCC(O)c2cc(O)cc(O)c2)n(C)c1=O,50
orphenadrine,Cc1ccccc1C(OCCN(C)C)c1ccccc1,90
bifemelane,CNCCCCOc1ccccc1Cc1ccccc1,13
isoxsuprine,CC(COc1ccccc1)NC(C)C(O)c1ccc(O)cc1,2.2
dihydrocodeine,COc1ccc2c3c1OC1C(O)CCC4C(C2)N(C)CCC341,20
pentopril,CCOC(=O)C(C)CC(C)C(=O)N1c2ccccc2CC1C(=O)O,58
pancopride,Nc1cc(OCC2CC2)c(C(O)=NC2CN3CCC2CC3)cc1Cl,82
enalapril,CC(NC(CCc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O,50
estradiol,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,5
dextromethorphan,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,11
chloroquine,CCN(CC)CCCCN(C)c1ccnc2cc(Cl)ccc12,80
almokalant,CCCS(=O)CCCN(CC)CC(O)COc1ccc(C#[NH+])cc1,55
acebutolol,CCCC(O)=Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,37
penbutolol,CC(C)(C)NCC(O)COc1ccccc1C1CCCC1,93
bisoprolol,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,90
raffinose,OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,0
clindamycin,CCCC1CC(C(O)=NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)N(C)C1,87
lincomycin,CCCC1CC(C(O)=NC(C(C)O)C2OC(SC)C(O)C(O)C2O)N(C)C1,25
tobramycin,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)CC1O,1
zopolrestat,O=C(O)Cc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c2ccccc12,45
diacerein,CC(=O)Oc1cccc2c1C(=O)c1c(OC(C)=O)cc(C(=O)O)cc1C2=O,35
rebamipide,O=C(NC(Cc1cc(O)nc2ccccc12)C(=O)O)c1ccc(Cl)cc1,5
acenocoumarol,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,60
flutoprazepam,O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1CC1CC1,50
warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,93
halofenate,CC(O)=NCCOC(=O)C(Oc1cccc(C(F)(F)F)c1)c1ccc(Cl)cc1,80
laquinimod,CCN(C(=O)c1c(O)c2c(Cl)cccc2n(C)c1=O)c1ccccc1,82
cephaloridine,O=C([O-])C1=C(C[n+]2ccccc2)CSC2C(N=C(O)Cc3cccs3)C(=O)N12,0
nafamostat,N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1,0
nedocromil,CCCc1c2oc(C(=O)O)cc(=O)c2cc2c(=O)cc(C(=O)O)n(CC)c12,3
sitafloxacin,NC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4F)c3c2Cl)CC12CC2,89
camazepam,CN(C)C(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2N(C)C1=O,90
dicloxacillin,Cc1onc(-c2ccccc2Cl)c1C(O)=NC1C(=O)N2C1SC(C)(C)C2C(=O)O,40
rivaroxaban,O=C(NCC1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,80
adinazolam,CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,39
tetomilast,CCOc1ccc(-c2nc(-c3cccc(C(=O)O)n3)cs2)cc1OCC,100
cefditoren,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(C=Cc3scnc3C)CSC12)c1csc(=N)[nH]1,14
desloratadine,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,80
oxacillin,Cc1onc(-c2ccccc2)c1C(O)=NC1C(=O)N2C1SC(C)(C)C2C(=O)O,33
folic_acid,N=c1nc(O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,75
ketotifen,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,60
phenylbutazone,CCCCC1C(=O)C(=O)N(c2ccccc2)N1c1ccccc1,90
dolasetron,O=C(OC1CC2CC3CC(C1)N2CC3=O)c1c[nH]c2ccccc12,75
protriptyline,CNCCCC1c2ccccc2C=Cc2ccccc21,85
nortriptyline,CNCCC=C1c2ccccc2CCc2ccccc21,51
isradipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12,19.5
cyamemazine,CC(CN(C)C)CN1c2ccccc2Sc2ccc(C#N)cc21,10
pirenzepine,CN1CCN(CC(=O)N2c3ccccc3C(O)=Nc3cccnc32)CC1,14
bezafibrate,CC(C)(Oc1ccc(CCN=C(O)c2ccccc2)cc1)C(=O)O,99
naloxone,C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,2
dothiepin,CN(C)CCC=C1c2ccccc2CSc2ccccc21,30
pizotyline,CN1CCC(=C2c3ccccc3CCc3sccc32)CC1,78
clamikalant,CN=C(S)NS(=O)(=O)c1cc(CCN=C(O)c2cc(Cl)ccc2OC)ccc1OC,86
trazodone,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,81
gatifloxacin,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,96
triprolidine,Cc1ccc(C(=CCN2CCCC2)c2ccccn2)cc1,4
acepromazine,CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,49
telenzepine,Cc1scc2c1N(C(=O)CN1CCN(C)CC1)c1ccccc1N=C2O,54
iclaprim,COc1cc(Cc2c[nH]c(=N)[nH]c2=N)c2c(c1OC)OC(C1CC1)C=C2,41
tiotropium,C[N+]1(C)C2CC(OC(=O)C(O)(c3cccs3)c3cccs3)CC1C1OC12,2.5
clomipramine,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,51
benzydamine,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,87
doxepin,CN(C)CCCC1c2ccccc2COc2ccccc21,30
imipramine,CN(C)CCCN1c2ccccc2CCc2ccccc21,42
palonosetron,O=C1c2cccc3c2C(CCC3)CN1C1CN2CCC1CC2,97
praziquantel,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,7
labetalol,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(=N)O)c1,25
omapatrilat,O=C(O)C1CCCC2SCCC(N=C(O)C(S)Cc3ccccc3)C(=O)N21,30
levomepromazine,COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,50
ethopropazine,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21,5
pentamidine,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,0
bortezomib,CC(C)CC(N=C(O)C(Cc1ccccc1)N=C(O)c1cnccn1)B(O)O,0
ergonovine,CC(CO)N=C(O)C1CC2c3cccc4[nH]cc(c34)CC2N(C)C1,50
pergolide,CCCN1CC(CSC)CC2c3cccc4[nH]cc(c34)CC21,38
oxitropium,CC[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,1
dofetilide,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,96
bunazosin,CCCC(=O)N1CCCN(c2nc3cc(OC)c(OC)cc3c(=N)[nH]2)CC1,45
alfuzosin,COc1cc2nc(N(C)CCCN=C(O)C3CCCO3)[nH]c(=N)c2cc1OC,55
pentazocine,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,18
tetrabenazine,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,5
nateglinide,CC(C)C1CCC(C(O)=NC(Cc2ccccc2)C(=O)O)CC1,73
glycopyrrolate,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,17
testosterone,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,4
gepirone,CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1,15
procyclidine,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,75
oxandrolone,CC12COC(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O,97
idebenone,COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O,0
bencyclane,CN(C)CCCOC1(Cc2ccccc2)CCCCCC1,51
tedisamil,C1CCC2(C1)C1CN(CC3CC3)CC2CN(CC2CC2)C1,50
perindopril,CCCC(NC(C)C(=O)N1C(C(=O)O)CC2CCCCC21)C(=O)OCC,50
fingolimod,CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,50
perhexiline,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,73.5
dicyclomine,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,67
sertaconazole,Clc1ccc(C(Cn2ccnc2)OCc2csc3c(Cl)cccc23)c(Cl)c1,0
vatalanib,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,18
trovafloxacin,NC1C2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)CC12,91
sulindac,CC1=C(CC(O)=[OH+])c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1,88
prasugrel,CC(=O)Oc1cc2c(s1)CCN(C(C(=O)C1CC1)c1ccccc1F)C2,70
cefodizime,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nc(C)c(CC(=O)O)s3)CSC12)c1csc(=N)[nH]1,0
latamoxef,COC1(N=C(O)C(C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)COC21,3
citalopram,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,80
raltegravir,Cc1nnc(C(=O)NC(C)(C)c2nc(C(O)=NCc3ccc(F)cc3)c(O)c(=O)n2C)o1,32
amitriptyline,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,55
imidafenacin,Cc1nccn1CCC(C(=N)O)(c1ccccc1)c1ccccc1,58
ampiroxicam,CCOC(=O)OC(C)OC1=C(C(O)=Nc2ccccn2)N(C)S(=O)(=O)c2ccccc21,0
pimexone,COc1ccc2c(=O)c3ccccc3oc2c1CN1CCCCC1,65
amodiaquine,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,75
pioglitazone,CCc1ccc(CCOc2ccc(CC3(C=O)CN=C(O)S3)cc2)nc1,83
cefuroxime,CON=C(C(O)=NC1C(=O)N2C(C(=O)OC(C)OC(C)=O)=C(COC(=N)O)CSC12)c1ccco1,50
methotrexate,CN(Cc1cnc2nc(=N)[nH]c(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,92
eliprodil,OC(CN1CCC(Cc2ccc(F)cc2)CC1)c1ccc(Cl)cc1,47
amitriptyline,CN(C)CCC=C1c2ccccc2CCc2ccccc21,48
maprotiline,CNCCCC12CCC(c3ccccc31)c1ccccc12,68
levoprotiline,CNCC(O)CC12CCC(c3ccccc31)c1ccccc12,40
naltrexone,O=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5,22
prochlorperazine,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,15
cloperastine,Clc1ccc(C(OCCN2CCCCC2)c2ccccc2)cc1,40
omecamtiv,COC(=O)N1CCN(Cc2cccc(NC(O)=Nc3ccc(C)nc3)c2F)CC1,100
yohimbine,COC(=O)C1C(O)OCC2CN3CCc4c([nH]c5ccccc45)C3CC21,33
medroxalol,CC(CCc1ccc2c(c1)OCO2)NCC(O)c1ccc(O)c(C(=N)O)c1,38
nisoldipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],5
propiomazine,CCC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2,33
exemestane,C=C1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12,42
ethinylestradiol,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,40
tesaglitazar,CCOC(Cc1ccc(OCCc2ccc(OS(C)(=O)=O)cc2)cc1)C(=O)O,99
amlodipine,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,74
lysergide,CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,50
methylergonovine,CCC(CO)N=C(O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,60
perazine,CN1CCN(CCCN2c3ccccc3Sc3ccccc32)CC1,13
pridinol,OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1,77
dienogest,CC12CCC3=C4CCC(=O)C=C4CCC3C1CCC2(O)CC#N,94
femoxetine,COc1ccc(OCC2CN(C)CCC2c2ccccc2)cc1,8
tiagabine,Cc1ccsc1C(=CCCN1CCCC(C(=O)O)C1)c1sccc1C,90
dilevalol,CC(=O)c1cc(C(O)CNC(C)CCc2ccccc2)ccc1O,12
traxoprodil,CC(C(O)c1ccc(O)cc1)N1CCC(O)(c2ccccc2)CC1,23
cilomilast,COc1ccc(C2(C#N)CCC(C(=O)O)CC2)cc1OC1CCCC1,99
trimipramine,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,40
ajmaline,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,20
norethindrone,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,64
cilazaprilat,O=C(O)C(CCc1ccccc1)NC1CCCN2CCCC(C(=O)O)N2C1=O,26
imidapril,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(=O)N(C)CC1C(=O)O,20
bevantolol,COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC,57
carbocromen,CCOC(=O)COc1ccc2c(C)c(CCN(CC)CC)c(=O)oc2c1,25
emepronium,CC[N+](C)(C)C(C)CC(c1ccccc1)c1ccccc1,1
enalaprilat,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)O,49
tamsulosin,CCOc1ccccc1OCCNC(C)Cc1ccc(OC)c(S(N)(=O)=O)c1,99
